iter	Passed	Remaining
803	6678	1628
804	6687	1620
805	6693	1611
806	6702	1603
807	6710	1594
808	6715	1585
809	6723	1577
810	6729	1568
811	6736	1559
812	6746	1551
813	6753	1543
814	6760	1534
815	6767	1525
816	6775	1517
817	6782	1509
818	6789	1500
819	6795	1491
820	6800	1482
821	6805	1473
822	6811	1464
823	6816	1455
824	6822	1447
825	6827	1438
826	6833	1429
827	6836	1420
828	6841	1411
829	6846	1402
830	6852	1393
831	6859	1385
832	6865	1376
833	6871	1367
834	6877	1358
835	6882	1350
836	6889	1341
837	6895	1332
838	6900	1324
839	6906	1315
840	6911	1306
841	6915	1297
842	6920	1288
843	6925	1280
844	6929	1271
845	6935	1262
846	6941	1253
847	6947	1245
848	6953	1236
849	6960	1228
850	6966	1219
851	6973	1211
852	6981	1203
853	6987	1194
854	6993	1186
855	7000	1177
856	7008	1169
857	7015	1161
858	7021	1152
859	7029	1144
860	7036	1135
861	7043	1127
862	7050	1119
863	7057	1110
864	7061	1102
865	7067	1093
866	7072	1084
867	7078	1076
868	7083	1067
869	7090	1059
870	7094	1050
871	7098	1041
872	7103	1033
873	7109	1025
874	7115	1016
875	7120	1007
876	7124	999
877	7130	990
878	7134	982
879	7140	973
880	7145	965
881	7151	956
882	7156	948
883	7161	939
884	7167	931
885	7174	923
886	7178	914
887	7183	906
888	7188	897
889	7194	889
890	7197	880
891	7202	872
892	7207	863
893	7211	855
894	7217	846
895	7222	838
896	7227	829
897	7231	821
898	7238	813
899	7243	804
900	7248	796
901	7253	788
902	7259	779
903	7264	771
904	7270	763
905	7275	754
906	7281	746
907	7286	738
908	7291	729
909	7297	721
910	7303	713
911	7308	705
912	7313	696
913	7319	688
914	7323	680
915	7328	672
916	7332	663
917	7338	655
918	7345	647
919	7350	639
920	7356	630
921	7361	622
922	7365	614
923	7370	606
924	7377	598
925	7383	590
926	7388	581
927	7393	573
928	7399	565
929	7403	557
930	7407	549
931	7411	540
932	7416	532
933	7420	524
934	7424	516
935	7429	508
936	7435	499
937	7441	491
938	7447	483
939	7453	475
940	7458	467
941	7462	459
942	7467	451
943	7473	443
944	7479	435
945	7485	427
946	7491	419
947	7496	411
948	7502	403
949	7507	395
950	7514	387
951	7518	379
952	7523	371
953	7528	362
954	7534	355
955	7538	346
956	7543	338
957	7548	330
958	7554	322
959	7560	315
960	7565	307
961	7570	299
962	7576	291
963	7580	283
964	7585	275
965	7591	267
966	7596	259
967	7600	251
968	7605	243
969	7610	235
970	7614	227
971	7620	219
972	7625	211
973	7630	203
974	7635	195
975	7639	187
976	7644	179
977	7649	172
978	7653	164
979	7657	156
980	7661	148
981	7664	140
982	7668	132
983	7672	124
984	7675	116
985	7679	109
986	7683	101
